Contract,tenure,MonthlyCharges,Churn
Month-to-month,4,69.55,No
Two year,37,19.85,No
Month-to-month,21,20.0,No
One year,53,95.85,No
Month-to-month,18,90.1,Yes
Month-to-month,2,68.95,Yes
Month-to-month,32,99.55,Yes
One year,23,20.75,No
Month-to-month,3,50.15,No
Two year,71,58.65,No
Month-to-month,9,95.9,No
Month-to-month,1,49.5,No
Month-to-month,18,57.45,Yes
One year,12,53.65,Yes
Two year,71,80.1,No
One year,64,24.4,No
Month-to-month,4,40.05,No
Month-to-month,23,19.5,No
Month-to-month,39,51.05,No
One year,28,54.35,No
Month-to-month,5,84.7,No
Month-to-month,45,86.1,No
Month-to-month,37,70.35,No
Two year,60,110.0,No
Month-to-month,8,100.6,Yes
One year,47,94.9,No
Month-to-month,26,83.75,Yes
Month-to-month,3,88.3,Yes
Month-to-month,50,69.75,No
Month-to-month,27,71.6,No
Month-to-month,8,92.1,Yes
Two year,62,23.65,No
Two year,71,81.85,No
Two year,66,25.1,No
Two year,68,114.7,No
Month-to-month,13,49.15,No
One year,56,80.9,No
Month-to-month,38,79.45,Yes
Month-to-month,14,90.45,Yes
One year,16,19.3,No
Month-to-month,14,70.2,No
Month-to-month,32,69.75,Yes
One year,8,54.25,No
Month-to-month,43,99.3,No
One year,52,74.0,No
Month-to-month,3,50.25,No
One year,29,19.8,No
Month-to-month,1,19.65,Yes
Month-to-month,12,43.65,Yes
Month-to-month,16,35.5,No
One year,40,80.75,No
Month-to-month,5,39.5,Yes
Month-to-month,40,97.1,Yes
One year,36,19.55,No
Month-to-month,5,80.0,Yes
Month-to-month,10,84.7,Yes
Month-to-month,2,89.55,Yes
Month-to-month,23,90.6,Yes
One year,26,20.05,No
Two year,72,112.4,No
Month-to-month,34,50.2,No
Month-to-month,10,62.25,No
One year,14,55.7,No
Month-to-month,23,90.05,Yes
Two year,47,19.65,No
Month-to-month,24,89.25,No
Month-to-month,49,99.05,Yes
One year,20,54.0,No
Month-to-month,2,69.75,Yes
Month-to-month,2,49.05,Yes
Two year,22,56.75,No
Month-to-month,7,98.05,Yes
Month-to-month,1,21.1,No
Month-to-month,59,96.65,No
One year,58,24.5,No
Month-to-month,41,114.5,Yes
Two year,59,79.2,No
Month-to-month,3,69.55,No
Two year,32,20.05,No
Month-to-month,46,98.85,No
Month-to-month,2,80.95,Yes
One year,52,19.6,No
Month-to-month,13,74.3,Yes
Month-to-month,11,89.7,Yes
Month-to-month,32,87.65,No
Month-to-month,17,100.45,Yes
Month-to-month,16,74.75,No
One year,51,107.45,No
One year,29,75.35,No
Two year,70,64.95,No
Two year,71,100.45,No
One year,41,68.5,No
Month-to-month,1,80.55,No
Month-to-month,7,81.25,No
One year,25,90.4,Yes
One year,67,89.55,No
Month-to-month,5,55.7,No
Month-to-month,15,24.8,No
Month-to-month,20,20.0,No
Month-to-month,3,56.15,Yes
One year,54,105.2,No
One year,42,19.55,No
Month-to-month,9,79.75,No
Two year,63,97.45,No
Two year,69,24.25,No
Two year,69,24.6,No
Month-to-month,40,50.15,No
Two year,60,39.6,No
Month-to-month,4,94.4,Yes
Two year,71,89.85,No
Month-to-month,37,78.95,Yes
Month-to-month,32,98.85,No
Two year,39,53.85,No
One year,38,24.25,No
Two year,52,89.45,No
Month-to-month,48,105.25,No
Two year,70,59.5,No
Month-to-month,20,70.55,No
One year,50,82.5,No
One year,19,44.85,Yes
One year,25,61.6,No
Month-to-month,12,49.05,No
Month-to-month,39,105.65,Yes
Month-to-month,7,74.65,Yes
One year,23,66.25,No
Month-to-month,27,19.4,No
Month-to-month,47,86.05,No
Two year,26,19.15,No
Month-to-month,14,64.7,Yes
Month-to-month,11,104.05,Yes
Month-to-month,2,19.25,No
Month-to-month,26,81.95,No
Two year,72,114.65,No
Two year,63,20.0,No
Two year,71,19.8,No
Month-to-month,11,65.15,No
One year,14,19.65,No
Two year,13,88.95,No
Month-to-month,6,20.2,No
Month-to-month,11,75.2,No
Month-to-month,18,56.8,No
Month-to-month,1,35.55,Yes
Month-to-month,32,75.5,No
One year,29,35.6,No
Month-to-month,3,60.25,No
Month-to-month,2,95.15,Yes
Month-to-month,13,96.65,Yes
Month-to-month,41,40.35,No
Month-to-month,1,18.85,No
Month-to-month,7,54.85,No
One year,52,64.3,No
Two year,45,24.65,No
Two year,70,76.1,No
Two year,53,18.7,No
One year,62,97.95,No
Month-to-month,60,94.1,No
Month-to-month,3,80.4,Yes
Month-to-month,23,95.1,No
Month-to-month,1,31.35,Yes
One year,67,72.35,No
Month-to-month,12,89.75,Yes
Two year,71,82.7,No
One year,25,19.9,No
Month-to-month,5,53.8,No
One year,26,51.55,No
One year,1,19.65,No
One year,70,44.05,No
Two year,72,114.0,No
One year,60,94.4,Yes
Month-to-month,32,100.4,No
Month-to-month,1,19.85,Yes
One year,14,54.25,No
Month-to-month,13,80.0,No
Month-to-month,6,109.9,Yes
Two year,46,79.2,No
Month-to-month,15,101.35,Yes
Month-to-month,43,94.3,No
Two year,39,49.8,No
Month-to-month,21,60.05,Yes
Month-to-month,57,53.75,No
One year,53,93.45,No
Month-to-month,18,87.9,No
Month-to-month,1,60.15,Yes
One year,58,61.05,No
Two year,71,104.05,No
One year,35,99.25,No
Month-to-month,3,85.7,No
One year,38,104.85,No
Two year,35,69.15,No
Month-to-month,7,90.45,Yes
Two year,47,74.45,No
Month-to-month,14,50.45,No
Month-to-month,20,60.0,No
Two year,66,85.25,No
Month-to-month,15,19.45,No
Two year,42,20.75,No
Month-to-month,17,78.9,No
One year,37,104.5,No
Month-to-month,12,49.4,No
One year,53,94.25,Yes
Two year,60,25.0,No
Month-to-month,18,25.55,No
Month-to-month,1,74.9,Yes
Month-to-month,3,70.15,No
Month-to-month,9,69.4,No
Month-to-month,1,80.25,Yes
One year,56,93.15,No
Month-to-month,17,69.0,Yes
Month-to-month,11,66.35,Yes
Month-to-month,7,69.55,No
Two year,69,20.2,No
Month-to-month,19,86.0,Yes
Month-to-month,3,80.3,Yes
Two year,54,20.4,No
One year,62,23.75,No
Month-to-month,24,90.55,Yes
Month-to-month,62,70.45,No
Month-to-month,17,65.75,No
Month-to-month,9,24.6,No
Two year,64,69.25,No
Month-to-month,2,75.9,Yes
Month-to-month,1,45.85,Yes
Month-to-month,16,49.95,Yes
Two year,72,24.65,No
One year,30,90.4,No
Month-to-month,49,100.85,No
Two year,61,75.35,No
Month-to-month,47,87.2,No
Month-to-month,20,64.4,No
Month-to-month,34,78.3,Yes
Two year,70,24.7,No
One year,54,105.85,No
One year,61,98.3,No
Month-to-month,3,76.95,Yes
One year,13,19.45,No
Month-to-month,16,96.15,Yes
Month-to-month,3,58.7,No
Month-to-month,25,20.15,No
Month-to-month,30,64.5,No
Month-to-month,21,28.5,No
Month-to-month,1,45.3,Yes
Month-to-month,15,19.4,Yes
Month-to-month,23,90.45,No
Month-to-month,45,105.15,No
One year,24,83.15,No
Month-to-month,11,90.15,Yes
Month-to-month,1,45.05,Yes
Two year,56,103.2,No
Month-to-month,1,75.8,Yes
Month-to-month,1,19.45,No
Month-to-month,7,79.3,Yes
Two year,55,88.8,No
Month-to-month,2,30.9,Yes
Two year,72,85.9,No
One year,45,34.2,No
Two year,47,20.15,No
One year,46,95.25,Yes
Month-to-month,2,50.3,No
Month-to-month,2,80.15,No
Month-to-month,12,51.25,No
Month-to-month,68,89.6,Yes
Two year,69,95.2,No
One year,56,94.8,No
Month-to-month,4,80.25,No
Two year,64,76.1,No
One year,59,110.15,Yes
Two year,62,115.55,No
Two year,63,24.65,No
One year,53,53.6,No
Month-to-month,5,19.45,No
Month-to-month,49,88.2,No
Two year,62,101.15,No
Two year,55,56.8,No
Two year,71,99.4,No
Two year,72,20.1,No
One year,36,60.7,No
One year,25,20.95,No
Two year,72,114.85,No
One year,36,19.25,No
Month-to-month,1,62.8,No
Two year,72,105.5,No
Two year,59,19.85,No
Month-to-month,7,89.5,Yes
One year,1,74.1,No
Month-to-month,30,107.5,No
Two year,64,19.55,No
One year,63,68.8,No
Two year,72,84.45,No
Month-to-month,8,75.0,Yes
Two year,62,84.5,No
Two year,67,111.2,No
Month-to-month,6,44.75,Yes
Two year,70,80.6,No
Month-to-month,20,80.7,No
Month-to-month,5,75.6,No
One year,24,57.6,No
Month-to-month,11,44.05,Yes
Two year,72,110.6,No
Two year,66,58.2,No
Two year,45,81.0,No
Two year,69,19.7,No
Month-to-month,15,85.6,Yes
Month-to-month,28,59.55,No
One year,70,115.55,Yes
One year,36,75.55,No
Month-to-month,16,86.6,Yes
Month-to-month,18,85.2,Yes
Month-to-month,34,97.65,Yes
One year,42,45.1,No
One year,48,70.95,No
Month-to-month,47,109.55,Yes
One year,39,89.55,Yes
Two year,11,20.9,No
Month-to-month,7,19.95,No
Month-to-month,3,24.6,No
Month-to-month,8,66.7,No
Month-to-month,1,19.45,Yes
One year,32,94.8,No
One year,60,65.85,No
Month-to-month,10,19.95,No
Two year,71,24.65,No
Month-to-month,4,20.35,Yes
Month-to-month,1,69.25,Yes
One year,43,51.25,No
One year,59,99.5,Yes
Month-to-month,23,54.25,No
Two year,72,19.4,No
One year,22,56.25,No
Month-to-month,1,25.15,No
Two year,69,23.95,No
One year,50,35.4,No
Month-to-month,1,25.2,Yes
Month-to-month,2,45.0,Yes
Month-to-month,15,75.35,No
Two year,31,20.4,No
Month-to-month,1,20.15,Yes
Month-to-month,66,105.0,Yes
Month-to-month,3,54.7,Yes
Two year,8,20.0,No
One year,64,73.05,No
Month-to-month,28,20.5,No
One year,57,100.75,No
Month-to-month,14,87.25,Yes
Two year,19,19.95,No
Month-to-month,10,79.95,Yes
Month-to-month,51,49.65,No
Two year,67,65.65,No
Month-to-month,11,20.45,No
Two year,72,60.95,No
One year,66,20.35,No
Month-to-month,18,88.35,Yes
Month-to-month,9,19.5,No
Month-to-month,9,75.2,No
Month-to-month,48,111.45,No
Month-to-month,10,70.15,No
Month-to-month,9,94.75,Yes
Month-to-month,13,95.05,Yes
Month-to-month,4,78.45,Yes
Month-to-month,4,70.2,Yes
Two year,72,92.0,No
Two year,51,85.5,No
Month-to-month,59,41.05,Yes
Month-to-month,10,85.6,Yes
Month-to-month,61,82.15,No
One year,54,84.4,No
Month-to-month,33,60.9,No
Two year,27,20.25,No
Month-to-month,1,79.2,Yes
Month-to-month,23,95.3,No
Month-to-month,1,19.85,No
Two year,45,84.35,No
Two year,39,19.85,No
One year,5,70.0,Yes
Two year,72,82.3,No
Month-to-month,58,66.8,No
Two year,70,44.6,No
One year,61,98.45,No
Month-to-month,2,70.7,No
One year,46,24.95,No
Month-to-month,1,49.95,Yes
Month-to-month,22,69.25,Yes
Two year,48,102.5,No
Two year,64,86.55,No
Two year,72,24.3,No
Month-to-month,12,58.35,No
Month-to-month,34,94.25,Yes
Two year,72,68.75,No
Month-to-month,29,85.8,No
One year,33,20.1,No
Month-to-month,1,20.35,No
One year,62,110.8,No
One year,41,73.0,Yes
One year,64,100.05,Yes
Month-to-month,4,82.85,No
Month-to-month,24,84.35,No
One year,14,19.55,No
Month-to-month,3,19.95,No
Month-to-month,4,99.8,Yes
Month-to-month,18,35.0,Yes
Month-to-month,8,66.25,No
Two year,35,23.3,No
Month-to-month,1,76.0,Yes
Two year,66,25.3,No
Two year,8,44.55,No
One year,71,104.1,No
Month-to-month,43,92.55,No
Month-to-month,2,93.85,Yes
Month-to-month,29,101.45,No
Month-to-month,15,84.3,Yes
Two year,65,94.55,No
Month-to-month,35,95.5,No
One year,64,100.3,No
Two year,58,55.5,No
Month-to-month,18,49.85,No
Month-to-month,67,89.55,No
Two year,63,19.15,No
Month-to-month,60,99.8,No
Month-to-month,9,84.4,Yes
Two year,70,113.05,No
Month-to-month,15,101.1,Yes
One year,48,19.95,No
Month-to-month,12,74.15,No
One year,71,92.0,No
Month-to-month,44,73.85,No
Month-to-month,1,50.45,Yes
Two year,45,24.45,No
One year,23,24.8,No
One year,43,64.85,No
Month-to-month,35,20.75,No
Month-to-month,9,68.95,No
Month-to-month,12,99.95,Yes
Month-to-month,65,109.4,No
Month-to-month,2,91.4,Yes
Month-to-month,27,49.0,No
One year,40,50.25,No
Month-to-month,5,75.55,Yes
One year,8,19.9,No
One year,58,97.8,No
One year,52,100.3,No
Month-to-month,3,55.8,No
Two year,41,111.15,No
Month-to-month,20,98.55,No
Month-to-month,1,50.05,No
Month-to-month,4,80.8,Yes
Month-to-month,23,20.85,No
Month-to-month,6,19.5,No
Month-to-month,8,19.35,No
Month-to-month,18,69.5,No
Month-to-month,52,48.8,No
Month-to-month,31,94.5,No
Month-to-month,29,20.65,No
Two year,36,106.05,No
Month-to-month,16,100.0,Yes
One year,42,108.3,No
Month-to-month,1,20.55,Yes
Two year,60,99.65,No
Month-to-month,5,85.3,Yes
Month-to-month,22,95.9,No
One year,36,20.0,No
Month-to-month,4,70.4,Yes
Month-to-month,9,64.95,No
Month-to-month,1,74.6,No
Month-to-month,12,49.2,No
One year,23,73.75,No
One year,62,92.3,No
Month-to-month,37,98.8,Yes
Month-to-month,8,19.2,No
Month-to-month,31,88.65,No
Month-to-month,13,74.4,Yes
Month-to-month,24,98.75,Yes
Month-to-month,45,95.95,No
Two year,69,105.4,No
Month-to-month,2,20.25,No
One year,61,106.0,Yes
Month-to-month,41,104.7,Yes
One year,44,49.05,No
One year,39,35.55,No
Two year,72,65.1,No
Month-to-month,13,96.85,No
One year,51,69.75,No
Two year,71,99.2,No
Month-to-month,22,96.7,Yes
Month-to-month,2,55.05,Yes
One year,56,106.8,No
Month-to-month,1,51.25,No
One year,23,57.75,No
One year,66,70.85,No
Month-to-month,1,19.55,No
Month-to-month,19,88.2,Yes
Month-to-month,11,79.5,No
One year,8,19.75,Yes
Month-to-month,52,98.15,No
Month-to-month,3,20.25,No
Month-to-month,51,79.15,No
Month-to-month,15,75.65,Yes
Month-to-month,64,94.25,No
Month-to-month,37,40.2,No
Two year,13,19.95,No
One year,49,55.35,No
One year,45,102.15,No
Month-to-month,18,71.1,No
Month-to-month,1,74.7,Yes
Two year,68,54.1,No
Two year,54,19.65,No
Month-to-month,23,88.45,No
Month-to-month,17,76.65,Yes
Two year,71,80.4,No
Two year,67,19.25,No
Month-to-month,14,84.8,No
Month-to-month,1,25.8,Yes
Two year,63,19.5,No
One year,41,68.6,No
Month-to-month,17,92.6,No
One year,56,100.55,No
Month-to-month,5,20.55,No
Month-to-month,2,42.6,Yes
Month-to-month,3,19.6,No
One year,37,67.45,No
Month-to-month,29,68.85,Yes
Month-to-month,8,43.55,No
Month-to-month,63,109.85,No
Month-to-month,7,20.65,No
Month-to-month,3,95.4,No
Two year,72,21.0,No
Month-to-month,19,56.2,No
Two year,59,18.4,No
Month-to-month,2,90.0,Yes
Month-to-month,35,25.75,No
Month-to-month,14,19.6,No
Month-to-month,14,75.35,Yes
Two year,69,19.8,No
Month-to-month,7,64.2,No
Two year,69,75.75,No
Two year,72,78.95,No
Month-to-month,8,100.85,Yes
Month-to-month,4,50.3,No
Month-to-month,63,80.3,No
Two year,72,19.85,No
Two year,46,21.1,No
Month-to-month,5,69.95,Yes
Month-to-month,30,50.0,No
Two year,63,104.75,No
Two year,60,19.85,No
One year,63,107.5,Yes
Month-to-month,25,85.9,No
Month-to-month,1,45.85,Yes
Month-to-month,6,80.8,No
Two year,22,25.25,No
Two year,31,80.55,No
Month-to-month,39,81.5,No
Month-to-month,26,20.9,No
One year,53,106.1,Yes
Month-to-month,1,91.7,Yes
Month-to-month,12,67.25,No
Month-to-month,16,95.6,Yes
Month-to-month,2,20.35,No
One year,39,45.05,No
Month-to-month,1,74.95,Yes
Month-to-month,7,34.65,No
Month-to-month,4,69.35,No
Month-to-month,10,95.35,Yes
Month-to-month,55,81.55,No
Two year,72,75.4,No
Month-to-month,10,67.8,No
Month-to-month,11,111.4,No
Month-to-month,15,46.3,No
Two year,23,20.4,No
Month-to-month,1,20.05,No
Month-to-month,3,45.0,Yes
One year,47,96.1,No
One year,15,19.65,No
Month-to-month,66,99.5,Yes
One year,68,60.65,No
One year,17,98.6,Yes
Month-to-month,7,59.5,Yes
Month-to-month,12,80.45,Yes
One year,21,71.7,No
Month-to-month,21,36.0,No
One year,56,65.2,No
Month-to-month,6,48.95,No
Two year,65,53.5,No
One year,42,80.45,No
Two year,68,109.05,No
Two year,48,26.3,No
One year,50,106.8,No
Month-to-month,7,64.95,No
Two year,63,19.35,No
Month-to-month,17,21.1,No
Month-to-month,42,77.95,Yes
Month-to-month,4,18.85,No
Two year,62,26.0,No
Month-to-month,2,74.7,Yes
Month-to-month,2,70.35,No
Two year,48,96.9,No
Two year,27,19.55,No
Two year,70,80.4,No
Month-to-month,1,88.8,Yes
One year,46,94.65,No
Month-to-month,30,90.25,Yes
Month-to-month,15,64.65,Yes
One year,69,95.75,No
Two year,65,19.55,No
Two year,72,104.1,No
Month-to-month,13,89.05,Yes
One year,17,20.1,No
One year,51,111.55,No
Two year,51,60.5,No
Two year,72,90.95,No
One year,67,87.4,Yes
Month-to-month,34,19.7,No
Two year,67,50.95,No
One year,49,20.05,No
Two year,53,19.4,No
Month-to-month,27,59.45,No
Month-to-month,23,94.75,Yes
Two year,69,81.5,No
Month-to-month,2,29.05,No
Month-to-month,35,86.45,Yes
One year,46,70.6,No
Two year,54,97.2,No
One year,56,98.25,Yes
Month-to-month,9,75.75,Yes
Month-to-month,20,59.2,No
Month-to-month,11,75.9,No
Month-to-month,30,90.05,No
Two year,68,70.95,No
Month-to-month,38,102.6,No
Month-to-month,17,85.35,Yes
One year,48,106.1,Yes
Month-to-month,1,43.8,No
Two year,63,59.0,No
One year,3,69.95,No
One year,48,24.35,No
One year,66,29.45,No
Two year,68,84.4,No
Month-to-month,17,45.05,Yes
One year,7,20.65,No
Two year,72,87.1,No
Month-to-month,29,19.85,No
Month-to-month,37,90.35,No
Month-to-month,34,109.8,Yes
Month-to-month,42,84.65,Yes
One year,59,65.5,No
Month-to-month,11,79.5,Yes
Month-to-month,60,80.95,No
Month-to-month,27,56.15,No
Month-to-month,1,85.8,Yes
Month-to-month,1,79.1,Yes
Month-to-month,17,34.4,No
Two year,58,20.75,No
One year,1,18.8,No
Month-to-month,3,44.3,Yes
Month-to-month,53,90.8,No
Month-to-month,35,25.6,No
Month-to-month,50,105.95,Yes
Two year,68,70.8,No
Month-to-month,47,25.4,No
Month-to-month,65,108.8,No
Month-to-month,5,69.75,Yes
Month-to-month,51,94.65,Yes
Month-to-month,46,96.05,Yes
Month-to-month,9,76.85,No
Two year,8,20.25,No
One year,14,24.8,No
Month-to-month,45,115.65,No
Month-to-month,8,74.6,No
Month-to-month,1,50.15,Yes
One year,66,103.15,No
Two year,72,72.1,No
Month-to-month,41,113.6,Yes
Two year,23,25.1,No
Month-to-month,29,78.9,Yes
Month-to-month,4,80.15,No
Two year,6,25.4,No
One year,67,105.4,No
Month-to-month,7,45.75,No
One year,56,24.45,No
Two year,72,25.0,No
Two year,72,85.25,No
Two year,23,19.6,No
Month-to-month,35,50.15,No
Month-to-month,27,70.55,No
Month-to-month,26,60.05,Yes
One year,12,26.4,No
Two year,40,20.15,No
Month-to-month,7,58.85,No
Month-to-month,70,97.55,No
Two year,60,19.65,No
One year,39,25.25,No
Two year,72,114.45,No
Month-to-month,1,34.7,Yes
One year,54,70.7,No
Month-to-month,3,85.3,Yes
Two year,63,75.55,No
Two year,71,84.8,No
One year,42,20.65,No
Two year,47,20.45,No
One year,66,102.45,Yes
Month-to-month,21,104.4,Yes
Month-to-month,11,35.65,No
Month-to-month,1,99.75,Yes
Month-to-month,55,90.45,No
Two year,69,97.65,No
Month-to-month,3,73.85,No
Month-to-month,4,74.4,Yes
Two year,30,69.1,No
Month-to-month,5,82.75,No
Two year,71,24.4,No
One year,29,55.25,No
Month-to-month,52,61.35,No
One year,68,76.75,No
Two year,46,19.4,No
Month-to-month,8,54.75,No
Two year,72,19.7,No
One year,17,19.9,No
Month-to-month,3,107.95,No
Month-to-month,2,83.8,No
Month-to-month,9,74.25,Yes
One year,51,56.4,No
Two year,6,20.1,No
Month-to-month,3,94.9,No
Month-to-month,17,94.2,No
Month-to-month,30,49.9,No
Month-to-month,31,71.05,No
Two year,45,81.65,No
One year,64,89.45,No
Month-to-month,1,59.85,Yes
Month-to-month,1,69.6,Yes
One year,61,99.0,No
Month-to-month,1,19.05,No
Month-to-month,9,45.4,Yes
Two year,72,114.45,No
Month-to-month,1,19.5,Yes
Month-to-month,7,44.25,No
One year,66,90.55,No
Month-to-month,1,69.9,Yes
Month-to-month,40,20.4,No
Month-to-month,16,71.4,No
Month-to-month,2,87.15,Yes
Two year,67,24.85,No
One year,41,104.45,No
Two year,56,19.8,No
Two year,72,116.45,No
Month-to-month,3,84.75,Yes
Two year,54,20.05,No
Month-to-month,52,110.75,No
Two year,50,89.7,No
Month-to-month,14,89.95,Yes
One year,27,48.7,No
Two year,72,96.6,No
One year,62,74.3,No
Month-to-month,12,54.3,No
One year,44,74.85,No
Two year,54,79.95,No
Two year,68,20.05,No
Month-to-month,20,19.4,No
One year,50,54.9,No
Two year,58,24.45,No
Month-to-month,35,89.65,No
Month-to-month,2,45.4,No
Two year,63,75.7,No
One year,58,110.65,No
One year,27,20.55,No
Two year,71,115.15,No
One year,63,58.55,No
Month-to-month,71,93.25,No
Month-to-month,41,113.2,Yes
Month-to-month,13,90.5,Yes
Month-to-month,2,79.0,Yes
Two year,68,19.35,No
Month-to-month,1,48.75,No
Two year,65,109.05,No
Two year,72,25.0,No
Month-to-month,28,54.9,No
Two year,72,24.75,No
Month-to-month,2,91.15,No
One year,18,20.15,Yes
One year,60,104.35,No
Month-to-month,26,66.05,No
Month-to-month,1,71.65,Yes
Month-to-month,4,20.35,Yes
Two year,68,92.2,No
Month-to-month,38,84.25,Yes
One year,42,105.2,No
Two year,57,19.6,No
Month-to-month,54,30.4,No
Month-to-month,12,78.1,Yes
One year,44,61.5,No
Month-to-month,42,69.4,No
Two year,72,24.75,No
Two year,71,91.05,No
Month-to-month,19,89.65,Yes
Month-to-month,23,73.65,No
Two year,30,19.4,No
One year,35,26.2,No
Month-to-month,10,98.7,Yes
Month-to-month,1,43.85,No
Month-to-month,22,69.7,No
Two year,7,38.55,No
Two year,36,53.1,No
Month-to-month,34,20.65,No
Two year,72,64.45,No
Two year,36,25.1,No
Month-to-month,1,76.35,Yes
Month-to-month,23,79.15,Yes
Month-to-month,32,85.0,Yes
One year,71,95.15,No
Month-to-month,23,79.35,No
One year,17,96.65,No
Month-to-month,1,75.5,No
Two year,12,19.7,No
Two year,72,20.5,No
Month-to-month,1,19.2,No
Two year,72,98.35,No
Month-to-month,60,74.35,No
Two year,61,51.35,No
Month-to-month,6,45.65,No
Month-to-month,32,85.3,Yes
Month-to-month,31,86.55,Yes
Month-to-month,19,73.85,Yes
Two year,72,20.3,No
Month-to-month,32,54.2,No
Month-to-month,65,90.65,No
Month-to-month,45,50.9,No
One year,42,25.05,No
Month-to-month,8,74.85,No
Two year,32,20.5,No
Month-to-month,22,63.55,No
Month-to-month,57,44.85,Yes
Month-to-month,1,47.95,No
Month-to-month,1,45.1,Yes
Month-to-month,1,45.0,No
Month-to-month,24,96.0,Yes
Month-to-month,1,20.05,Yes
Month-to-month,54,90.05,No
Two year,4,25.3,No
Two year,65,108.65,Yes
One year,56,24.3,No
Month-to-month,45,75.95,No
Two year,71,19.7,No
One year,59,66.4,No
One year,69,35.75,No
One year,19,18.8,No
Two year,55,19.4,No
One year,38,19.3,No
Month-to-month,10,45.55,Yes
Month-to-month,47,67.45,No
Month-to-month,2,35.1,Yes
Month-to-month,1,46.2,Yes
Month-to-month,1,45.15,Yes
Month-to-month,1,43.3,Yes
Two year,46,20.1,No
Month-to-month,38,57.15,Yes
Two year,65,58.9,No
Month-to-month,19,73.2,Yes
Month-to-month,52,85.35,Yes
Two year,71,19.45,No
Month-to-month,1,45.95,Yes
Month-to-month,52,50.5,No
One year,6,25.1,No
One year,26,60.7,No
One year,48,99.0,No
One year,64,104.4,No
Month-to-month,3,83.75,Yes
Month-to-month,1,44.05,No
Two year,72,24.1,No
Month-to-month,1,45.55,No
Month-to-month,51,93.8,No
Two year,41,19.7,No
Two year,72,70.65,No
Two year,43,86.45,No
Two year,72,114.1,No
One year,47,95.2,No
Two year,72,88.55,No
Month-to-month,3,20.75,No
Month-to-month,1,70.05,Yes
Month-to-month,2,86.0,Yes
Month-to-month,26,44.65,No
Month-to-month,29,60.2,No
Month-to-month,35,100.5,Yes
One year,27,55.45,No
Month-to-month,24,70.3,No
Two year,67,60.4,No
Month-to-month,16,72.65,Yes
One year,23,55.8,No
Month-to-month,14,31.1,No
Month-to-month,1,21.0,Yes
Month-to-month,1,45.1,Yes
Month-to-month,4,50.95,No
Month-to-month,16,69.1,No
Month-to-month,46,43.95,No
Two year,68,86.5,No
Month-to-month,38,69.95,No
Month-to-month,30,50.4,Yes
Month-to-month,5,78.95,Yes
Month-to-month,17,90.95,No
Two year,4,19.9,No
One year,12,20.15,No
Two year,72,90.6,No
Month-to-month,3,92.0,No
Month-to-month,56,94.45,Yes
One year,41,24.85,No
One year,40,36.0,No
Month-to-month,7,78.5,No
Two year,69,19.95,No
One year,7,20.65,No
Month-to-month,5,30.5,No
Two year,72,106.1,No
One year,44,20.5,No
One year,65,95.5,No
Month-to-month,3,64.6,No
Month-to-month,24,51.1,No
Month-to-month,44,84.8,Yes
Two year,72,89.1,No
Month-to-month,24,54.95,No
Month-to-month,1,50.9,Yes
Month-to-month,22,20.45,No
Two year,70,85.95,No
Month-to-month,25,60.35,No
Two year,37,19.8,No
Month-to-month,22,85.35,No
Two year,59,72.1,No
Month-to-month,49,99.8,Yes
Month-to-month,47,107.35,Yes
Month-to-month,31,19.55,Yes
Month-to-month,1,81.05,No
Month-to-month,3,20.5,No
One year,53,111.8,No
Month-to-month,1,20.2,No
One year,20,19.7,No
Month-to-month,3,79.1,Yes
One year,51,19.85,No
One year,51,60.5,No
Two year,13,19.55,No
Month-to-month,1,20.9,No
Month-to-month,1,21.05,No
One year,63,71.5,No
Month-to-month,3,54.65,No
Two year,46,19.2,No
Month-to-month,1,49.8,No
Month-to-month,8,25.5,Yes
Two year,71,20.5,No
Month-to-month,55,90.4,No
One year,70,90.25,No
Month-to-month,2,80.75,Yes
Two year,67,104.6,No
Month-to-month,65,91.85,Yes
Month-to-month,14,50.2,No
Month-to-month,20,95.5,No
Month-to-month,1,75.35,Yes
Month-to-month,1,75.45,Yes
Month-to-month,49,95.4,No
Two year,72,101.3,No
Month-to-month,46,53.1,No
Month-to-month,24,84.85,No
Month-to-month,5,34.25,No
Month-to-month,33,88.6,No
One year,42,60.15,No
One year,23,99.95,No
Month-to-month,8,70.7,No
One year,66,54.8,No
Month-to-month,24,49.55,Yes
Month-to-month,24,54.8,No
One year,69,78.6,Yes
One year,53,100.3,No
Two year,60,53.6,No
Month-to-month,7,81.1,Yes
One year,20,19.35,No
Month-to-month,23,85.6,No
Two year,72,80.8,No
Month-to-month,11,74.95,Yes
Two year,21,19.6,No
Month-to-month,1,93.55,Yes
Month-to-month,31,90.7,No
Two year,57,69.75,No
Two year,45,20.0,No
Month-to-month,10,95.25,No
Month-to-month,58,102.1,Yes
Month-to-month,14,19.95,No
One year,27,80.85,No
Month-to-month,14,90.9,Yes
Month-to-month,12,29.2,Yes
Two year,69,93.3,No
Month-to-month,25,89.15,Yes
One year,58,108.85,Yes
Two year,35,46.35,No
Month-to-month,16,84.75,Yes
One year,45,78.75,No
Month-to-month,17,83.55,No
Month-to-month,1,45.7,Yes
One year,22,19.6,No
Month-to-month,1,69.95,Yes
Two year,67,67.85,No
Two year,67,105.65,No
Month-to-month,2,44.6,Yes
Month-to-month,23,74.95,Yes
Month-to-month,9,75.5,No
Month-to-month,5,20.15,No
